port,containers/$CONTAINER_NAME
53,coredns
53,pi-hole
80,traefik
443,traefik
1433,mssql
1883,mosquitto
1951,bginetaccess
1952,bginetaccounting
3100,loki
3306,mysql-8
5044,logstash
5514,logstash
5601,kibana
6881,qbittorrent
8000,healthchecks
8086,influxdb-1-x
8086,influxdb-2-x
8123,home-assistant
8324,plex
9000,portainer-ce
9001,mosquitto
9090,prometheus
9200,elasticsearch
9300,elasticsearch
9600,logstash
10051,zabbix_server
10060,zabbix_proxy
11211,memcached
27017,mongodb-1
27018,mongodb-2
27019,mongodb-3
32400,plex
32469,plex
51413,transmission
65001,bookstack
65002,transmission
65003,firefly-iii
65004,qbittorrent
65005,dkron
65006,duplicati
65007,hass-configurator
65008,tautulli
65009,zigbee2mqtt
65010,pi-hole
65011,homer
65012,scrutiny
65013,vault
65014,zabbix_web
65015,cbackup
65016,telegraf
65017,zabbix_agent
65018,confluence
65019,postgresql
65020,mysql-5-7
65021,netbox
65022,gitea
65023,gitea
65024,wikijs
65025,vaultwarden
65026,uptime-kuma
65027,youtrack
65028,mysql-8-master
65029,mysql-8-slave-1
65030,mysql-8-slave-2
65031,zabbix_agent2
65032,zabbix_agent2
65035,heimdall
65036,dashmachine
65037,organizr
65038,grafana
65039,promtail
65040,snape-it
65041,redis
65043,invoiceninja
65044,mariadb
65045,mysql-5-7-master
65046,mysql-5-7-slave-1
65047,mysql-5-7-slave-2
65048,jellyfin
65049,jellyfin
65050,traefik
65051,traefik
65055,rocketchat
65056,emby
65057,emby
65100,pi-hole_exporter
65101,qbittorrent_exporter
65102,mongodb_exporter
65103,rocketchat
65104,coredns
65200,cbackup
